NumberOfClusters,NumberOfNonSingletonClusters,R-Squared(RSQ),Semipartial R-Squared(SPRSQ),SPRSQRank,Kelley Penalty,IsKelleyGlobalMinimum,MergeDistance
454,167,0.969166,0.000591659,,544.955,,0.375
455,166,0.969262,9.62551e-05,,545.043,,0.3747
456,165,0.969358,9.61524e-05,,545.136,,0.3746
457,166,0.969686,0.000327177,,546.513,,0.374533
458,165,0.969781,9.52317e-05,,546.613,,0.3737
459,165,0.970009,0.000228667,,547.353,,0.373375
460,164,0.970104,9.45201e-05,,547.46,,0.373
461,163,0.970198,9.44188e-05,,547.572,,0.3729
462,162,0.970292,9.41154e-05,,547.688,,0.3726
463,161,0.970386,9.32093e-05,,547.809,,0.3717
464,161,0.970558,0.00017229,,548.572,,0.37165
465,160,0.970649,9.15158e-05,,548.703,,0.37
466,160,0.970829,0.000179732,,549.504,,0.3699
467,159,0.97092,9.12193e-05,,549.642,,0.3697
468,159,0.971124,0.00020308,,550.373,,0.3697
469,159,0.971343,0.000219732,,551.151,,0.36954
470,159,0.971504,0.000161062,,551.748,,0.3692
471,159,0.971667,0.000162666,,552.316,,0.369
472,159,0.971828,0.000161308,,553.048,,0.36875
473,159,0.971992,0.000163712,,553.67,,0.36805
474,158,0.972081,8.94557e-05,,553.83,,0.3679
475,158,0.972287,0.000205951,,554.583,,0.367833
476,157,0.972376,8.90673e-05,,554.749,,0.3675
477,156,0.972465,8.89704e-05,,554.919,,0.3674
478,157,0.972867,0.000401167,,556.327,,0.367376
479,158,0.974216,0.00134942,,557.51,,0.367105
480,158,0.974426,0.000209841,,558.321,,0.36675
481,159,0.974802,0.00037597,,559.684,,0.36629
482,160,0.975424,0.000622218,,560.885,,0.365883
483,159,0.97551,8.55342e-05,,561.071,,0.3638
484,160,0.975945,0.000435027,,562.034,,0.363633
485,159,0.97603,8.53463e-05,,562.225,,0.3636
486,158,0.976115,8.51586e-05,,562.42,,0.3634
487,158,0.976259,0.000143933,,563.237,,0.36315
488,157,0.976343,8.44112e-05,,563.439,,0.3626
489,156,0.976428,8.42251e-05,,563.644,,0.3624
490,155,0.976512,8.40394e-05,,563.854,,0.3622
491,156,0.976752,0.000239872,,565.122,,0.361525
492,156,0.976963,0.000211858,,565.9,,0.360925
493,156,0.977178,0.000214753,,566.67,,0.3607
494,156,0.977318,0.000139764,,567.478,,0.35985
495,156,0.977453,0.000135324,,568.296,,0.35725
496,156,0.9776,0.000146401,,568.942,,0.357
497,155,0.977679,7.93162e-05,,569.175,,0.357
498,154,0.977757,7.80793e-05,,569.414,,0.3556
499,155,0.978049,0.000291717,,570.674,,0.355433
500,154,0.978126,7.76411e-05,,570.917,,0.3551
501,153,0.978204,7.75537e-05,,571.164,,0.355
502,152,0.978282,7.75537e-05,,571.413,,0.355
503,153,0.978626,0.000344166,,572.702,,0.35452
504,154,0.979561,0.000935352,,573.903,,0.354314
505,154,0.979751,0.000189717,,574.74,,0.353271
506,154,0.979914,0.000163182,,575.484,,0.3527
507,153,0.97999,7.55633e-05,,575.746,,0.3527
508,153,0.98015,0.000160808,,576.563,,0.3526
509,153,0.980283,0.00013229,,577.194,,0.3515
510,153,0.980413,0.000130077,,577.96,,0.35145
511,152,0.980487,7.43706e-05,,578.233,,0.3513
